GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;;Farbe;Rang;Zeile;;;Ränge;1;0;fceed3
317;171;143,699890136719;03.05.20 17:00;;;;"=WENNS(I36=N$5;P$5;I36=N$4;P$4;I36=N$3;P$3;I36 = N$2;P$2;I36=N$1;P$1)";"=WENNS(C36>O$5;N$5;C36>O$4;N$4;C36>O$3;N$3;C36>O$2;N$2;C36>O$1;N$1)";"="".bz""&TEXT(A36;""0"") & "" { fill:#"" &TEXT(H36;""0"") &"";fill-opacity:1 }""";;;;;;
318;177;205,119888305664;03.05.20 17:00;;;;"=WENNS(I37=N$5;P$5;I37=N$4;P$4;I37=N$3;P$3;I37 = N$2;P$2;I37=N$1;P$1)";"=WENNS(C37>O$5;N$5;C37>O$4;N$4;C37>O$3;N$3;C37>O$2;N$2;C37>O$1;N$1)";"="".bz""&TEXT(A37;""0"") & "" { fill:#"" &TEXT(H37;""0"") &"";fill-opacity:1 }""";;;;;;
319;266;202,985260009766;03.05.20 17:00;;;;"=WENNS(I38=N$5;P$5;I38=N$4;P$4;I38=N$3;P$3;I38 = N$2;P$2;I38=N$1;P$1)";"=WENNS(C38>O$5;N$5;C38>O$4;N$4;C38>O$3;N$3;C38>O$2;N$2;C38>O$1;N$1)";"="".bz""&TEXT(A38;""0"") & "" { fill:#"" &TEXT(H38;""0"") &"";fill-opacity:1 }""";;;;;;
320;103;248,77424621582;03.05.20 17:00;;;;"=WENNS(I39=N$5;P$5;I39=N$4;P$4;I39=N$3;P$3;I39 = N$2;P$2;I39=N$1;P$1)";"=WENNS(C39>O$5;N$5;C39>O$4;N$4;C39>O$3;N$3;C39>O$2;N$2;C39>O$1;N$1)";"="".bz""&TEXT(A39;""0"") & "" { fill:#"" &TEXT(H39;""0"") &"";fill-opacity:1 }""";;;;;;
321;169;162,858596801758;03.05.20 17:00;;;;"=WENNS(I40=N$5;P$5;I40=N$4;P$4;I40=N$3;P$3;I40 = N$2;P$2;I40=N$1;P$1)";"=WENNS(C40>O$5;N$5;C40>O$4;N$4;C40>O$3;N$3;C40>O$2;N$2;C40>O$1;N$1)";"="".bz""&TEXT(A40;""0"") & "" { fill:#"" &TEXT(H40;""0"") &"";fill-opacity:1 }""";;;;;;
322;71;274,258331298828;03.05.20 17:00;;;;"=WENNS(I41=N$5;P$5;I41=N$4;P$4;I41=N$3;P$3;I41 = N$2;P$2;I41=N$1;P$1)";"=WENNS(C41>O$5;N$5;C41>O$4;N$4;C41>O$3;N$3;C41>O$2;N$2;C41>O$1;N$1)";"="".bz""&TEXT(A41;""0"") & "" { fill:#"" &TEXT(H41;""0"") &"";fill-opacity:1 }""";;;;;;
323;73;93,6005401611328;03.05.20 17:00;;;;"=WENNS(I42=N$5;P$5;I42=N$4;P$4;I42=N$3;P$3;I42 = N$2;P$2;I42=N$1;P$1)";"=WENNS(C42>O$5;N$5;C42>O$4;N$4;C42>O$3;N$3;C42>O$2;N$2;C42>O$1;N$1)";"="".bz""&TEXT(A42;""0"") & "" { fill:#"" &TEXT(H42;""0"") &"";fill-opacity:1 }""";;;;;;
325;72;170,527206420898;03.05.20 17:00;;;;"=WENNS(I43=N$5;P$5;I43=N$4;P$4;I43=N$3;P$3;I43 = N$2;P$2;I43=N$1;P$1)";"=WENNS(C43>O$5;N$5;C43>O$4;N$4;C43>O$3;N$3;C43>O$2;N$2;C43>O$1;N$1)";"="".bz""&TEXT(A43;""0"") & "" { fill:#"" &TEXT(H43;""0"") &"";fill-opacity:1 }""";;;;;;
401;304;147,76936340332;03.05.20 17:00;;;;"=WENNS(I44=N$5;P$5;I44=N$4;P$4;I44=N$3;P$3;I44 = N$2;P$2;I44=N$1;P$1)";"=WENNS(C44>O$5;N$5;C44>O$4;N$4;C44>O$3;N$3;C44>O$2;N$2;C44>O$1;N$1)";"="".bz""&TEXT(A44;""0"") & "" { fill:#"" &TEXT(H44;""0"") &"";fill-opacity:1 }""";;;;;;
402;61;159,715133666992;03.05.20 17:00;;;;"=WENNS(I45=N$5;P$5;I45=N$4;P$4;I45=N$3;P$3;I45 = N$2;P$2;I45=N$1;P$1)";"=WENNS(C45>O$5;N$5;C45>O$4;N$4;C45>O$3;N$3;C45>O$2;N$2;C45>O$1;N$1)";"="".bz""&TEXT(A45;""0"") & "" { fill:#"" &TEXT(H45;""0"") &"";fill-opacity:1 }""";;;;;;
