GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;GKZ;Anzahl;Anzahl_Inzidenz;Timestamp;;;Differenz absolut;Differenz Inzidenz;;;Farbe;Rang;Zeile;;;Zeile effektiv;;;Maximum;=MAX(L2:L94);;Ränge;1;0;fceed3
313;135;238,532760620117;19.04.20 19:00;313;150;265,036407470703;03.05.20 17:00;;;=F32-B32;=G32-C32;;;"=WENNS(P32=AA$5;AC$5;P32=AA$4;AC$4;P32=AA$3;AC$3;P32 = AA$2;AC$2;P32=AA$1;AC$1)";"=WENNS(L32>AB$5;AA$5;L32>AB$4;AA$4;L32>AB$3;AA$3;L32>AB$2;AA$2;L32>AB$1;AA$1)";"="".bz""&TEXT(E32;""0"") & "" { fill:#"" &TEXT(O32;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q32;"""")";;;;;;;;;
314;40;154,966674804688;19.04.20 19:00;314;41;158,840850830078;03.05.20 17:00;;;=F33-B33;=G33-C33;;;"=WENNS(P33=AA$5;AC$5;P33=AA$4;AC$4;P33=AA$3;AC$3;P33 = AA$2;AC$2;P33=AA$1;AC$1)";"=WENNS(L33>AB$5;AA$5;L33>AB$4;AA$4;L33>AB$3;AA$3;L33>AB$2;AA$2;L33>AB$1;AA$1)";"="".bz""&TEXT(E33;""0"") & "" { fill:#"" &TEXT(O33;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q33;"""")";;;;;;;;;
315;166;212,924240112305;19.04.20 19:00;315;168;215,489593505859;03.05.20 17:00;;;=F34-B34;=G34-C34;;;"=WENNS(P34=AA$5;AC$5;P34=AA$4;AC$4;P34=AA$3;AC$3;P34 = AA$2;AC$2;P34=AA$1;AC$1)";"=WENNS(L34>AB$5;AA$5;L34>AB$4;AA$4;L34>AB$3;AA$3;L34>AB$2;AA$2;L34>AB$1;AA$1)";"="".bz""&TEXT(E34;""0"") & "" { fill:#"" &TEXT(O34;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q34;"""")";;;;;;;;;
316;120;158,976196289063;19.04.20 19:00;316;131;173,549011230469;03.05.20 17:00;;;=F35-B35;=G35-C35;;;"=WENNS(P35=AA$5;AC$5;P35=AA$4;AC$4;P35=AA$3;AC$3;P35 = AA$2;AC$2;P35=AA$1;AC$1)";"=WENNS(L35>AB$5;AA$5;L35>AB$4;AA$4;L35>AB$3;AA$3;L35>AB$2;AA$2;L35>AB$1;AA$1)";"="".bz""&TEXT(E35;""0"") & "" { fill:#"" &TEXT(O35;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q35;"""")";;;;;;;;;
317;157;131,934997558594;19.04.20 19:00;317;171;143,699890136719;03.05.20 17:00;;;=F36-B36;=G36-C36;;;"=WENNS(P36=AA$5;AC$5;P36=AA$4;AC$4;P36=AA$3;AC$3;P36 = AA$2;AC$2;P36=AA$1;AC$1)";"=WENNS(L36>AB$5;AA$5;L36>AB$4;AA$4;L36>AB$3;AA$3;L36>AB$2;AA$2;L36>AB$1;AA$1)";"="".bz""&TEXT(E36;""0"") & "" { fill:#"" &TEXT(O36;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q36;"""")";;;;;;;;;
318;174;201,643280029297;19.04.20 19:00;318;177;205,119888305664;03.05.20 17:00;;;=F37-B37;=G37-C37;;;"=WENNS(P37=AA$5;AC$5;P37=AA$4;AC$4;P37=AA$3;AC$3;P37 = AA$2;AC$2;P37=AA$1;AC$1)";"=WENNS(L37>AB$5;AA$5;L37>AB$4;AA$4;L37>AB$3;AA$3;L37>AB$2;AA$2;L37>AB$1;AA$1)";"="".bz""&TEXT(E37;""0"") & "" { fill:#"" &TEXT(O37;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q37;"""")";;;;;;;;;
319;255;194,591125488281;19.04.20 19:00;319;266;202,985260009766;03.05.20 17:00;;;=F38-B38;=G38-C38;;;"=WENNS(P38=AA$5;AC$5;P38=AA$4;AC$4;P38=AA$3;AC$3;P38 = AA$2;AC$2;P38=AA$1;AC$1)";"=WENNS(L38>AB$5;AA$5;L38>AB$4;AA$4;L38>AB$3;AA$3;L38>AB$2;AA$2;L38>AB$1;AA$1)";"="".bz""&TEXT(E38;""0"") & "" { fill:#"" &TEXT(O38;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q38;"""")";;;;;;;;;
320;100;241,528396606445;19.04.20 19:00;320;103;248,77424621582;03.05.20 17:00;;;=F39-B39;=G39-C39;;;"=WENNS(P39=AA$5;AC$5;P39=AA$4;AC$4;P39=AA$3;AC$3;P39 = AA$2;AC$2;P39=AA$1;AC$1)";"=WENNS(L39>AB$5;AA$5;L39>AB$4;AA$4;L39>AB$3;AA$3;L39>AB$2;AA$2;L39>AB$1;AA$1)";"="".bz""&TEXT(E39;""0"") & "" { fill:#"" &TEXT(O39;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q39;"""")";;;;;;;;;
321;150;144,549057006836;19.04.20 19:00;321;169;162,858596801758;03.05.20 17:00;;;=F40-B40;=G40-C40;;;"=WENNS(P40=AA$5;AC$5;P40=AA$4;AC$4;P40=AA$3;AC$3;P40 = AA$2;AC$2;P40=AA$1;AC$1)";"=WENNS(L40>AB$5;AA$5;L40>AB$4;AA$4;L40>AB$3;AA$3;L40>AB$2;AA$2;L40>AB$1;AA$1)";"="".bz""&TEXT(E40;""0"") & "" { fill:#"" &TEXT(O40;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q40;"""")";;;;;;;;;
322;67;258,807159423828;19.04.20 19:00;322;71;274,258331298828;03.05.20 17:00;;;=F41-B41;=G41-C41;;;"=WENNS(P41=AA$5;AC$5;P41=AA$4;AC$4;P41=AA$3;AC$3;P41 = AA$2;AC$2;P41=AA$1;AC$1)";"=WENNS(L41>AB$5;AA$5;L41>AB$4;AA$4;L41>AB$3;AA$3;L41>AB$2;AA$2;L41>AB$1;AA$1)";"="".bz""&TEXT(E41;""0"") & "" { fill:#"" &TEXT(O41;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q41;"""")";;;;;;;;;
323;66;84,6251525878906;19.04.20 19:00;323;73;93,6005401611328;03.05.20 17:00;;;=F42-B42;=G42-C42;;;"=WENNS(P42=AA$5;AC$5;P42=AA$4;AC$4;P42=AA$3;AC$3;P42 = AA$2;AC$2;P42=AA$1;AC$1)";"=WENNS(L42>AB$5;AA$5;L42>AB$4;AA$4;L42>AB$3;AA$3;L42>AB$2;AA$2;L42>AB$1;AA$1)";"="".bz""&TEXT(E42;""0"") & "" { fill:#"" &TEXT(O42;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q42;"""")";;;;;;;;;
325;66;156,316604614258;19.04.20 19:00;325;72;170,527206420898;03.05.20 17:00;;;=F43-B43;=G43-C43;;;"=WENNS(P43=AA$5;AC$5;P43=AA$4;AC$4;P43=AA$3;AC$3;P43 = AA$2;AC$2;P43=AA$1;AC$1)";"=WENNS(L43>AB$5;AA$5;L43>AB$4;AA$4;L43>AB$3;AA$3;L43>AB$2;AA$2;L43>AB$1;AA$1)";"="".bz""&TEXT(E43;""0"") & "" { fill:#"" &TEXT(O43;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q43;"""")";;;;;;;;;
401;298;144,85285949707;19.04.20 19:00;401;304;147,76936340332;03.05.20 17:00;;;=F44-B44;=G44-C44;;;"=WENNS(P44=AA$5;AC$5;P44=AA$4;AC$4;P44=AA$3;AC$3;P44 = AA$2;AC$2;P44=AA$1;AC$1)";"=WENNS(L44>AB$5;AA$5;L44>AB$4;AA$4;L44>AB$3;AA$3;L44>AB$2;AA$2;L44>AB$1;AA$1)";"="".bz""&TEXT(E44;""0"") & "" { fill:#"" &TEXT(O44;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q44;"""")";;;;;;;;;
402;59;154,478576660156;19.04.20 19:00;402;61;159,715133666992;03.05.20 17:00;;;=F45-B45;=G45-C45;;;"=WENNS(P45=AA$5;AC$5;P45=AA$4;AC$4;P45=AA$3;AC$3;P45 = AA$2;AC$2;P45=AA$1;AC$1)";"=WENNS(L45>AB$5;AA$5;L45>AB$4;AA$4;L45>AB$3;AA$3;L45>AB$2;AA$2;L45>AB$1;AA$1)";"="".bz""&TEXT(E45;""0"") & "" { fill:#"" &TEXT(O45;""0"") &"";fill-opacity:1 }""";;;"=WENNNV(Q45;"""")";;;;;;;;;
