Datum	Uhrzeit	<5	5–14	15–24	25–34	35–44	45–54	55–64	65–74	75–84	>84
2020-04-29	20:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-29	21:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-29	22:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-29	23:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	00:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	02:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	03:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	04:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	05:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	06:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	07:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	08:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	09:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	10:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	11:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	13:00:00	0	0	0	1	2	9	21	95	205	222
2020-04-30	14:00:00	0	0	0	1	2	9	21	95	206	222
2020-04-30	16:00:00	0	0	0	1	2	9	21	95	207	222
2020-04-30	17:00:00	0	0	0	1	2	9	21	95	207	222
2020-04-30	18:00:00	0	0	0	1	2	9	21	95	206	223
2020-04-30	19:00:00	0	0	0	1	2	9	21	95	206	223
2020-04-30	20:00:00	0	0	0	1	2	9	21	95	206	223
2020-04-30	21:00:00	0	0	0	1	2	9	21	95	206	224
2020-04-30	22:00:00	0	0	0	1	2	9	21	95	206	224
2020-04-30	23:00:00	0	0	0	1	2	9	21	95	206	224
2020-05-01	00:00:00	0	0	0	1	2	9	21	95	206	224
2020-05-01	01:00:00	0	0	0	1	2	9	21	94	207	224
2020-05-01	02:00:00	0	0	0	1	2	9	21	94	207	224
2020-05-01	03:00:00	0	0	0	1	2	9	21	94	207	224
2020-05-01	04:00:00	0	0	0	1	2	9	21	94	207	224
2020-05-01	05:00:00	0	0	0	1	2	9	21	94	207	224
2020-05-01	06:00:00	0	0	0	1	2	9	21	94	207	224
2020-05-01	07:00:00	0	0	0	1	2	9	21	94	207	224
2020-05-01	08:00:00	0	0	0	1	2	9	21	94	207	226
2020-05-01	09:00:00	0	0	0	1	2	9	21	94	207	226
2020-05-01	10:00:00	0	0	0	1	2	9	21	94	207	226
2020-05-01	11:00:00	0	0	0	1	2	9	21	94	207	226
2020-05-01	12:00:00	0	0	0	1	2	9	21	94	207	227
2020-05-01	13:00:00	0	0	0	1	2	9	21	94	207	227
2020-05-01	15:00:00	0	0	0	1	2	9	21	94	207	227
2020-05-01	16:00:00	0	0	0	1	2	9	21	94	207	227
2020-05-01	17:00:00	0	0	0	1	2	9	21	94	208	227
2020-05-01	19:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-01	20:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-01	21:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-01	22:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	00:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	01:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	02:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	03:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	04:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	05:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	06:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	07:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	08:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	09:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	10:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	11:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	12:00:00	0	0	0	1	2	9	21	94	210	228
2020-05-02	14:00:00	0	0	0	1	2	10	21	94	210	228
2020-05-02	15:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-02	16:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-02	17:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-02	19:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-02	20:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-02	21:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-02	22:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	00:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	02:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	03:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	04:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	05:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	06:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	07:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	09:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	10:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	11:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	12:00:00	0	0	0	1	2	10	21	94	210	229
2020-05-03	13:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-03	14:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-03	16:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-03	17:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-03	19:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-03	21:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-03	22:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	00:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	01:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	02:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	03:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	04:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	05:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	06:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	07:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	08:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	09:00:00	0	0	0	1	2	10	21	94	210	230
2020-05-04	11:00:00	0	0	0	1	2	10	21	94	211	230
2020-05-04	12:00:00	0	0	0	1	2	10	21	94	211	230
2020-05-04	13:00:00	0	0	0	1	2	10	21	94	211	230
2020-05-04	14:00:00	0	0	0	1	2	10	21	94	211	230
2020-05-04	15:00:00	0	0	0	1	2	10	21	94	211	231
2020-05-04	16:00:00	0	0	0	1	2	10	21	93	211	231
2020-05-04	17:00:00	0	0	0	1	2	10	21	93	212	231
2020-05-04	18:00:00	0	0	0	1	2	10	21	93	212	231
2020-05-04	19:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-04	20:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-04	21:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-04	22:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-04	23:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	00:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	01:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	02:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	03:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	04:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	05:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	06:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	07:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	08:00:00	0	0	0	1	2	10	21	94	212	231
2020-05-05	09:00:00	0	0	0	1	2	10	21	94	212	231
